tsne_x,tsne_y,robo_group,title,paragraphs,sponsor,url,key_words,robo_group_names
1.656090560819137,4.631862773171852,28,HR2778 To provide that members of the Armed Forces performing services for the peacekeeping effort in the Republic of Bosnia and Herzegovina shall be entitled to certain tax benefits in the same manner as if such services were performed in a combat zone 104th Congress 1995 1996,2.9444389791664403,"Rep. Bunning, Jim [R-KY-4]",https://www.congress.gov/bill/104th-congress/house-bill/2778/text,forces | armed | enlisted | armed forces | combat,Taxes
7.2724023460818685,1.8195358829037092,6,HJRes165 Making further continuing appropriations for the fiscal year 1996 and for other purposes 104th Congress 1995 1996,2.302585092994046,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/165/text,thereof | presidential | law lieu | lieu | lieu thereof,Government Spending
4.075971791342232,-1.3715382259755968,18,HR2036 Land Disposal Program Flexibility Act of 1996 104th Congress 1995 1996,3.295836866004329,"Rep. Oxley, Michael G. [R-OH-4]",https://www.congress.gov/bill/104th-congress/house-bill/2036/text,disposal | solid waste | unit | waste | solid,Infrastructure
1.4530551978322457,4.23287637060406,28,HR1380 Truth in Lending Class Action Relief Act of 1995 104th Congress 1995 1996,2.772588722239781,"Rep. McCollum, Bill [R-FL-8]",https://www.congress.gov/bill/104th-congress/house-bill/1380/text,moratorium | action | class | lending | truth,Taxes
0.5539537265551989,0.2968538867323091,1,S1494 Housing Opportunity Program Extension Act of 1996 104th Congress 1995 1996,4.3694478524670215,"Sen. D'Amato, Alfonse [R-NY]",https://www.congress.gov/bill/104th-congress/senate-bill/1494/text,secretary | amounts | public housing | housing | grant,Pub and Env Safety
-1.558829362775949,5.357152077568175,15,HR3136 Contract with America Advancement Act of 1996 104th Congress 1995 1996,5.356586274672012,"Rep. Archer, Bill [R-TX-7]",https://www.congress.gov/bill/104th-congress/house-bill/3136/text,small business | rule | shall | agency | small,Small Businesses
4.176551752628885,4.617477909558751,4,HJRes170 Making further continuing appropriations for the fiscal year 1996 and for other purposes 104th Congress 1995 1996,3.1354942159291497,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/170/text,funds appropriated | funds | revitalization | heading act | appropriated heading,Government Spending
2.925370285967015,-2.136086490422649,3,HR1266 Greens Creek Land Exchange Act of 1995 104th Congress 1995 1996,3.4011973816621555,"Rep. Young, Don [R-AK-At Large]",https://www.congress.gov/bill/104th-congress/house-bill/1266/text,land | mining | monument | agreement | creek,Federal Land and Wildlife
-0.4180418250515436,4.6497975479223,31,HR1787 To amend the Federal Food Drug and Cosmetic Act to repeal the saccharin notice requirement 104th Congress 1995 1996,2.4849066497880004,"Rep. Bilbray, Brian P. [R-CA-49]",https://www.congress.gov/bill/104th-congress/house-bill/1787/text,federal food | cosmetic | cosmetic act | drug cosmetic | notice requirement,Pub and Env Safety
-0.20897226698576177,0.20419139714825274,1,HJRes78 To grant the consent of the Congress to certain additional powers conferred upon the Bi State Development Agency by the States of Missouri and Illinois 104th Congress 1995 1996,2.5649493574615367,"Rep. Talent, Jim [R-MO-2]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/78/text,illinois | conferred | powers | development agency | compact,Pub and Env Safety
